COURSE #,TITLE/START DATE,Acad Level,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,Start Time,End Time,Meeting Days,Bldg,Room,XLIST CRS,FEE,Min Cred,Max Cred,COREQ CRS,Section,Term,Seq No,Schools,,,,,,,,,,,,,,Acad Level
CYSEC_210_01,IT Security,UG,25,0,Open,Dr F Mak,12:00PM,01:20PM,T TH,IHK,203,,$115,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,
CYSEC_301_01,Ethical Hacking,UG,25,0,Open,Dr R Matovu,01:25PM,02:45PM,M W,IHK,204,,$115,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,
CYSEC_306_01,Info Assurance,UG,25,0,Open,Dr Y Liu,01:30PM,02:50PM,T TH,IHK,204,,$115,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CYSEC_308_1E,Cybr Def/Cld Sec,UG,25,0,Open,Dr J Tong,04:30PM,05:50PM,T TH,IHK,203,,$115,3.00,0.00,,1E,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_506_0A,Obj Orient Prog Java,GR,25,0,Open,Ms M Obaid,09:30AM,10:50AM,T TH,Z,101,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_506_0B,Obj Orient Prog Java,GR,25,0,Open,Ms Q Zhang,12:00PM,01:20PM,T TH,Z,101,,$70,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_514_0A,Rqmts & Project Mgmt,GR,25,0,Open,Staff,06:00PM,07:20PM,T TH,Z,336,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_514_0B,Rqmts & Project Mgmt,GR,25,0,Open,Mr P Shah,04:30PM,05:50PM,M W,Z,101,,$70,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_514_0C,Rqmts & Project Mgmt,GR,25,0,Open,Mr R Lamb,03:00PM,04:20PM,M W,Z,355,,$70,3.00,0.00,,0C,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_515_0A,Sftwr Testing & QA,GR,24,0,Open,Dr M Rahman,09:30AM,10:50AM,T TH,Z,336,"SOFT_310_01,GCIS_515_0A",$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
